40	39	39	40	66.69	0.69	1.10	-0.00	-0.01	0.01	40.00
40	39	39	40	66.69	0.69	1.10	-0.00	-0.01	0.01	40.00
40	39	39	40	66.69	0.69	1.10	-0.00	-0.01	0.01	40.00
40	39	39	40	66.69	0.69	1.10	-0.00	-0.01	0.01	40.00
40	39	39	40	66.69	0.69	1.10	-0.00	-0.01	0.01	40.00
40	39	39	40	66.69	0.69	1.10	-0.00	-0.01	0.01	40.00
40	39	39	40	66.69	0.69	1.10	-0.00	-0.01	0.01	40.00
40	39	39	40	66.69	0.69	1.10	-0.00	-0.01	0.01	40.00
40	39	39	40	66.69	0.69	1.10	-0.00	-0.01	0.01	40.00
40	39	39	40	66.69	0.69	1.10	-0.00	-0.01	0.01	40.00
40	39	39	40	66.69	0.69	1.10	-0.00	-0.01	0.01	40.00
40	39	39	40	66.69	0.69	1.10	-0.00	-0.01	0.01	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
40	39	39	40	66.69	0.69	1.09	-0.00	-0.01	0.02	40.00
39	39	39	40	66.70	0.70	1.08	-0.02	-0.03	0.04	40.00
39	39	39	40	66.70	0.70	1.08	-0.02	-0.03	0.04	40.00
40	39	39	40	66.70	0.69	1.07	-0.02	-0.02	0.05	40.00
40	39	39	40	66.70	0.69	1.07	-0.02	-0.02	0.05	40.00
40	39	39	40	66.70	0.69	1.07	-0.02	-0.02	0.05	40.00
40	39	39	40	66.70	0.69	1.07	-0.02	-0.02	0.05	40.00
40	39	39	40	66.70	0.69	1.07	-0.02	-0.02	0.05	40.00
40	39	39	40	66.70	0.69	1.07	-0.02	-0.02	0.05	40.00
40	39	39	40	66.70	0.69	1.07	-0.02	-0.02	0.05	40.00
40	39	39	40	66.70	0.69	1.07	-0.03	-0.02	0.05	40.00
40	39	39	40	66.70	0.69	1.07	-0.03	-0.02	0.05	40.00
40	39	39	40	66.70	0.69	1.07	-0.03	-0.02	0.05	40.00
40	39	39	40	66.70	0.69	1.07	-0.03	-0.02	0.05	40.00
40	39	39	40	66.70	0.69	1.07	-0.02	-0.02	0.05	40.00
